datadate,fyear,cik,sic2,gdwlip,at,ceq,invt,xint,cogs,sale,prcc_f,csho,act,rectr,lct,dt,ni,acqintan,am,intan,xrd,xad,acqppe
31mar1997,1996,889664,59,0,31.745,24.318,13.831,.031,72.836,120.555,14,6.057,24.647,1.094,7.336,0,5.35,0,0,0,0,2.898,0
31mar1997,1996,902279,57,0,934.3680000000001,-94.072,169.488,55.522,544.845,979.655,2.875,30.26,222.859,37.358,271.276,0,-27.586,0,0,33.79,0,102.1,0
31jan1997,1996,868984,59,0,93.533,37.507,64.482,6.993,87.76000000000001,155.474,10.75,10.061,70.133,3.395,44.309,0,17.4,0,0,0,0,0,0
31jan1997,1996,812127,56,0,14.297,.044,7.935,0,46.526,61.571,.40599996,6.124,9,.54,11.633,0,-3.361,0,0,0,0,.122,0
31jan1997,1996,1593936,59,0,784.4349999999999,332.802,351.208,21.038,918.5700000000001,1368.677,13.125,23.691,437.543,0,197.731,0,-31.233,0,0,140.697,0,63.505,0
31jan1997,1996,75043,59,0,160.734,36.131,107.609,3.821,237.542,367.117,5.18699932,5.827,115.96,3.771,76.551,0,-27.25,0,0,0,0,15.931,0
31jan1997,1996,1026114,59,0,27.414,21.132,4.072,.027,14.529,30.225,18.5,12.053,26.295,0,6.268,0,4.255,0,0,0,0,0,0
31mar1997,1996,96793,59,0,49.967,17.96,11.103,.995,95.723,111.739,5.125,5.151,33.897,21.453,22.81,0,2.096,0,.054,0,0,0,0
31jan1997,1996,45791,56,0,57.319,36.911,19.759,1.235,118.066,190.288,20.625,10.115,37.457,0,16,0,8.819000000000001,0,0,0,0,0,0
31jan1997,1996,1525769,58,0,99.43600000000001,75.366,3.89,.415,66.673,88.77500000000001,21.12499809,7.268,8.095000000000001,0,7.018,0,6.34,0,.38,8.92,0,0,0
31jan1997,1996,34115,56,0,242.851,194.512,43.149,0,208.016,440.184,14.25,48.03,150.983,0,42.866,0,45.13,0,0,0,0,0,0
31jan1997,1996,940510,59,0,1211,511.4,737.5,7,1396,1958.8,44.625,37.929,846.4,0,634.5,0,57.9,0,1.1,38.5,0,0,0
31jan1997,1996,843081,56,0,176.2,25.243,58.304,14.001,284.637,417.758,15.25,8.898999999999999,64.996,0,42.718,0,4.452,0,1.3,40.819,0,14.8,0
30apr1997,1996,926295,58,0,4.633,1.312,.209,.157,9.651,11.411,1.06199932,5.016,1.033,.07,1.246,0,.012,0,0,0,0,0,0
31may1997,1996,790360,59,0,123.483,-12.696,41.374,12.745,88.01000000000001,144.346,.406,4.029,105.39,54.552,5.908,0,-45.968,0,0,0,0,0,0
31jan1997,1996,34151,59,0,429.18,199.41,296.104,10.668,516.857,928.951,16,17.921,318.267,0,141.22,0,24.603,0,.75,3.219,0,20.298,0
31mar1997,1996,771214,58,0,8.109,3.209,.203,.352,10.516,16.112,2.375,1.586,2.238,.16,1.45,0,.452,0,.097,1.062,0,0,0
31jan1997,1996,929428,59,0,1867.27,1063.564,894.407,0,2446.793,3179.274,12,123.767,1220.664,39.455,731.901,0,68.80500000000001,0,9.390000000000001,333.744,0,0,0
28feb1997,1996,874690,57,0,257.713,108.083,97.368,5.537,524.598,683.386,2.18699932,17.439,139.779,11.597,76.244,0,-45.341,0,.493,14.553,0,31.216,0
31jan1997,1996,19353,56,0,710.397,421.035,193.977,9.579000000000001,743.293,1016.297,4.75,105.47,366.226,0,142.082,0,-7.237,0,0,0,0,23.583,0
28feb1997,1996,805900,59,0,97.51900000000001,33.195,36.089,3.428,57.02,109.64,6.25,4.225,78.059,37.97,21.514,0,4.025,0,.446,7.187,0,4.903,0
31jan1997,1996,895447,56,0,93.926,63.772,59.24,1.285,163.578,233.945,5,13.032,63.109,.916,18.019,0,4.14,0,0,0,0,0,0
31jan1997,1996,870826,59,0,166.413,127.246,28.109,0,92.11499999999999,159.478,4.625,28.842,99.355,6.488,37.724,0,18.09,0,0,0,0,0,0
31may1997,1996,932699,59,0,9.786,1.123,.554,2.115,2.844,4.021,.8749995699999999,6.873,1.413,.551,4.429,0,-7.006,0,.175,.663,.353,0,0
31mar1997,1996,892907,59,0,44.436,26.707,28.094,.805,85.34099999999999,137.705,2.5,6.5,30.769,.476,17.729,0,2.303,0,0,0,0,2.873,0
31jan1997,1996,715779,56,0,94.53100000000001,74.014,22.907,.391,151.77,187.493,4.56199932,12.845,71.889,0,18.69,0,-3.855,0,.214,2.933,0,0,0
31jan1997,1996,875404,56,0,182.913,87.485,88.76300000000001,3.948,401.351,545.025,5.56199932,20.584,98.58799999999999,1.94,80.246,0,6.466,0,1.467,0,0,0,0
31jan1997,1996,315125,59,0,137.83,40.387,104.576,7.372,140.051,254.679,5.125,4.201,112.193,3.164,73.404,0,64.518,0,0,3.188,0,0,0
30apr1997,1996,791164,59,0,40.989,-20.647,7.108,4.814,125.501,158.419,.15599996,18.294,38.443,26.898,60.7,0,-66.099,0,0,0,0,0,0
